"Επώνυμο (αρχικού)",Όνομα,Βαθμίδα,"Επίπεδο Εποπτείας","Όνομα (επόπτη)",Επώνυμο,Βαθμίδα
Βασιλογιάννης,Θησεύς,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Δαμασκηνή,Μουσελίμης,ΔΙΕΥΘΥΝΤΗΣ
Βερβίτη,Νεκτάριος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Αρχέλαος,Θεοδωρόπουλος,ΔΙΕΥΘΥΝΤΗΣ
Βλάχου,Φλώρα,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Βαλεντίνα,Ξανθάκης,ΔΙΕΥΘΥΝΤΗΣ
Βουλγαρίδου,Θεοφύλακτος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Πολύβιος,Σαουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Βουτσινά,Ισιδώρα,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Διονυσία,Κονιάρη,ΔΙΕΥΘΥΝΤΗΣ
Βράσκου,Διονυσία,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Ίκαρος,Καρακυρίου,ΔΙΕΥΘΥΝΤΗΣ
Γεωργακόπουλος,Φρειδερίκη,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ασημίνα,Τσαντίδου,ΔΙΕΥΘΥΝΤΗΣ
Γιαννακέας,Ροδαμάνθη,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Κλεόπας,Ρέππος,ΔΙΕΥΘΥΝΤΗΣ
Γιανναρά,Κορνήλιος,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Λεονάρδος,Χολέβα,ΔΙΕΥΘΥΝΤΗΣ
Γιαννόπουλος,Στέλλιος,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Λεονάρδος,Χολέβα,ΔΙΕΥΘΥΝΤΗΣ
Γιαπατζής,Βαρσαμία,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Αρίσταρχος,Πανοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Γιασημάκης,Ευδοκία,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Ασημίνα,Τσαντίδου,ΔΙΕΥΘΥΝΤΗΣ
Γιατράκου,Ηράκλεια,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Κλεόπας,Ρέππος,ΔΙΕΥΘΥΝΤΗΣ
Γκανάτσιος,Μαρίνα,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Αρίσταρχος,Πανοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Γκόνη,Γερασιμούλα,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Δαμασκηνή,Μουσελίμης,ΔΙΕΥΘΥΝΤΗΣ
Γκούσκος,Φοίβος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Περσεφόνη,Μενγκ,ΔΙΕΥΘΥΝΤΗΣ
Γκουτζαμάνης,Θεμιστοκλής,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Βαλεντίνα,Ξανθάκης,ΔΙΕΥΘΥΝΤΗΣ
Γούλα,Σωτήριος,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Νεόκλεια,Βασιλάκης,ΔΙΕΥΘΥΝΤΗΣ
Γραμματικόπουλος,Ζαφείριος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ευριπίδης,Κουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Γραμμένου,Κρυστάλλης,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Ευριπίδης,Κουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Γρηγοριάδου,Σταυρούλα,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ευριπίδης,Κουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Γρηγορίου,Ιοκάστη,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ίκαρος,Καρακυρίου,ΔΙΕΥΘΥΝΤΗΣ
Γρίβα,Πρόδρομος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Ευριπίδης,Κουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Δαΐκου,Ναπολέων,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Ευριπίδης,Κουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Δαματοπούλου,Φιλιώ,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ζαχαρούλα,Πετρογιάννης,ΔΙΕΥΘΥΝΤΗΣ
Δερμιτζάκης,Σέργιος,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Πολύβιος,Σαουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Δημητρίου,Μενέλαος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Κλεόπας,Ρέππος,ΔΙΕΥΘΥΝΤΗΣ
Δήμου,Ανάργυρη,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Αρχέλαος,Θεοδωρόπουλος,ΔΙΕΥΘΥΝΤΗΣ
Δουβίκας,Αφέντης,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Νεόκλεια,Βασιλάκης,ΔΙΕΥΘΥΝΤΗΣ
Δουβρόπουλος,Ανδρέας,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Πολύβιος,Σαουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Δουλγεράκη,Πούλια,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Νεόκλεια,Βασιλάκης,ΔΙΕΥΘΥΝΤΗΣ
Δρακουλή,Αθανάσιος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ίκαρος,Καρακυρίου,ΔΙΕΥΘΥΝΤΗΣ
Δρόσου,Χρύσανθος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Βαλεντίνα,Ξανθάκης,ΔΙΕΥΘΥΝΤΗΣ
Δώρη,Κυράτσα,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ευριπίδης,Κουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Εμπορόπουλος,Σεμίνα,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Νεόκλεια,Βασιλάκης,ΔΙΕΥΘΥΝΤΗΣ
Ενωτιάδη,Ανάργυρος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Βαλεντίνα,Ξανθάκης,ΔΙΕΥΘΥΝΤΗΣ
Ευαγγελάκη,Ευθύμιος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Βαλεντίνα,Ξανθάκης,ΔΙΕΥΘΥΝΤΗΣ
Ευαγγελάκη,Υπαπαντή,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Κλεόπας,Ρέππος,ΔΙΕΥΘΥΝΤΗΣ
Ευαγγελάτος,Θησεύς,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Κλεόπας,Ρέππος,ΔΙΕΥΘΥΝΤΗΣ
Ευαγγελάτος,Σουλτάνα,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ζαχαρούλα,Πετρογιάννης,ΔΙΕΥΘΥΝΤΗΣ
Ευκαρπίδης,Ευφροσύνη,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Λεονάρδος,Χολέβα,ΔΙΕΥΘΥΝΤΗΣ
Ευκαρπίδης,Εμμανουήλ,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Πολύβιος,Σαουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Ευκαρπίδης,Λουίζα,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Αρίσταρχος,Πανοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Ευστρατόπουλος,Ναθαναήλ,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ζαχαρούλα,Πετρογιάννης,ΔΙΕΥΘΥΝΤΗΣ
Ζαρειφοπούλου,Λεμονιά,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Βαλάντω,Ζαρειφοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Ζαχαρίου,Διονυσία,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Πολύβιος,Σαουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Ζερβά,Ρεγγίνα,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Περσεφόνη,Μενγκ,ΔΙΕΥΘΥΝΤΗΣ
Ζευγίτης,Μαυρίκιος,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Αρχέλαος,Θεοδωρόπουλος,ΔΙΕΥΘΥΝΤΗΣ
Ζευγίτης,Πολυχρονία,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Αρχέλαος,Θεοδωρόπουλος,ΔΙΕΥΘΥΝΤΗΣ
Ζηδιανάκης,Θαλής,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Ασημίνα,Τσαντίδου,ΔΙΕΥΘΥΝΤΗΣ
Ζηματίκας,Φώτιος,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Ίκαρος,Καρακυρίου,ΔΙΕΥΘΥΝΤΗΣ
Ζολώτας,Παντούλα,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Κλεόπας,Ρέππος,ΔΙΕΥΘΥΝΤΗΣ
Ζουλούμης,Σαπφώ,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Περσεφόνη,Μενγκ,ΔΙΕΥΘΥΝΤΗΣ
Ζώνιος,Μάρκος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Αρίσταρχος,Πανοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Θεοδοσίου,Κλέαρχος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Βαλάντω,Ζαρειφοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Θεοδοσίου,Παρασκευή,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Δαμασκηνή,Μουσελίμης,ΔΙΕΥΘΥΝΤΗΣ
Θεοδωρόπουλος,Αφέντης,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Πολύβιος,Σαουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Θωμόπουλος,Σπυρίδων,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Αρχέλαος,Θεοδωρόπουλος,ΔΙΕΥΘΥΝΤΗΣ
Ιακωβάκης,Νεκτάριος,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Ζαχαρούλα,Πετρογιάννης,ΔΙΕΥΘΥΝΤΗΣ
Ισέρης,Ιακωβίνα,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Διονυσία,Κονιάρη,ΔΙΕΥΘΥΝΤΗΣ
Ιωακείμ,Πολυτίμη,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Ζαχαρούλα,Πετρογιάννης,ΔΙΕΥΘΥΝΤΗΣ
Ιωσηφίδου,Ταξιάρχης,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Νεόκλεια,Βασιλάκης,ΔΙΕΥΘΥΝΤΗΣ
Καζανόπουλος,Δημόκριτος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Βαλάντω,Ζαρειφοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Καλαϊτζοπούλου,Ρόζα,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Ίκαρος,Καρακυρίου,ΔΙΕΥΘΥΝΤΗΣ
Καλαμάρα,Σελήνη,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Διονυσία,Κονιάρη,ΔΙΕΥΘΥΝΤΗΣ
Καλαπόδης,Αικατερίνη,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Περσεφόνη,Μενγκ,ΔΙΕΥΘΥΝΤΗΣ
Καλλιάνταση,Ιάσων,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Αρίσταρχος,Πανοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Κανελλοπούλου,Βαρδής,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Βαλεντίνα,Ξανθάκης,ΔΙΕΥΘΥΝΤΗΣ
Καρακάξης,Αντίπατρος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Διονυσία,Κονιάρη,ΔΙΕΥΘΥΝΤΗΣ
Καραμανλή,Ματθαίος,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Αρίσταρχος,Πανοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Καράμπας,Παυλίνα,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Αρχέλαος,Θεοδωρόπουλος,ΔΙΕΥΘΥΝΤΗΣ
Καρτάς,Κυπριανός,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Περσεφόνη,Μενγκ,ΔΙΕΥΘΥΝΤΗΣ
Κασσωτάκη,Διδώ,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Νεόκλεια,Βασιλάκης,ΔΙΕΥΘΥΝΤΗΣ
Κατσαντώνης,Ίρις,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Βαλεντίνα,Ξανθάκης,ΔΙΕΥΘΥΝΤΗΣ
Κατσιλλή,Στέργιος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Λεονάρδος,Χολέβα,ΔΙΕΥΘΥΝΤΗΣ
Κατσογιάννης,Γενοβέφα,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Βαλάντω,Ζαρειφοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Κολοβός,Ζαχαρένια,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Ευριπίδης,Κουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Κομκούδης,Δημοκράτης,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Ίκαρος,Καρακυρίου,ΔΙΕΥΘΥΝΤΗΣ
Κονσούλα,Ευτύχιος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Αρχέλαος,Θεοδωρόπουλος,ΔΙΕΥΘΥΝΤΗΣ
Κοντογιάννης,Ραλλία,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Βαλεντίνα,Ξανθάκης,ΔΙΕΥΘΥΝΤΗΣ
Κοντοκώστας,Ειρήνη,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Ίκαρος,Καρακυρίου,ΔΙΕΥΘΥΝΤΗΣ
Κοντός,Θεοδόσιος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Πολύβιος,Σαουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Κοντού,Δαμασκηνός,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Βαλάντω,Ζαρειφοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Κορομήλας,Αντιγόνη,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Κλεόπας,Ρέππος,ΔΙΕΥΘΥΝΤΗΣ
Κοττίκας,Θεόφραστος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Πολύβιος,Σαουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Κουθούρη,Ίρις,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Περσεφόνη,Μενγκ,ΔΙΕΥΘΥΝΤΗΣ
Κουκουθάκη,Ανέστης,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ευριπίδης,Κουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Κουλουμπού,Αντύπας,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Αρίσταρχος,Πανοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Κουρής,Χρύσανθος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Ασημίνα,Τσαντίδου,ΔΙΕΥΘΥΝΤΗΣ
Κουρής,Μαλαμάτη,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Βαλεντίνα,Ξανθάκης,ΔΙΕΥΘΥΝΤΗΣ
Κουρκουτάς,Αγησίλαος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Περσεφόνη,Μενγκ,ΔΙΕΥΘΥΝΤΗΣ
Κουρλού,Πυθαγόρας,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Λεονάρδος,Χολέβα,ΔΙΕΥΘΥΝΤΗΣ
Κουταλιός,Φραγκίσκος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Κλεόπας,Ρέππος,ΔΙΕΥΘΥΝΤΗΣ
Κουτκιά,Αριστέα,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ζαχαρούλα,Πετρογιάννης,ΔΙΕΥΘΥΝΤΗΣ
Κουτσικούρη,Ολύμπια,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Λεονάρδος,Χολέβα,ΔΙΕΥΘΥΝΤΗΣ
Κουτσιουμάρη,Ευρυδίκη,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Ζαχαρούλα,Πετρογιάννης,ΔΙΕΥΘΥΝΤΗΣ
Κουτσογιάννόπουλος,Μεταξία,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Δαμασκηνή,Μουσελίμης,ΔΙΕΥΘΥΝΤΗΣ
Κουτσουρέλη,Ιερώνυμος,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Αρχέλαος,Θεοδωρόπουλος,ΔΙΕΥΘΥΝΤΗΣ
Κυργιά,Μαυρίκιος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Αρίσταρχος,Πανοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Κυρούδη,Θεοχάρης,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Νεόκλεια,Βασιλάκης,ΔΙΕΥΘΥΝΤΗΣ
Κωστάκης,Μαλβίνα,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Κλεόπας,Ρέππος,ΔΙΕΥΘΥΝΤΗΣ
Κώτσου,Ασημούλα,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Διονυσία,Κονιάρη,ΔΙΕΥΘΥΝΤΗΣ
Λαγοπάτης,Αγγελική,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Αρχέλαος,Θεοδωρόπουλος,ΔΙΕΥΘΥΝΤΗΣ
Λεντζίου,Θαλής,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ζαχαρούλα,Πετρογιάννης,ΔΙΕΥΘΥΝΤΗΣ
Λιάνου,Γλυκερία,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ασημίνα,Τσαντίδου,ΔΙΕΥΘΥΝΤΗΣ
Λιόλιος,Τιμοθέα,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Ίκαρος,Καρακυρίου,ΔΙΕΥΘΥΝΤΗΣ
Λιόντη,Ευλαμπία,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Δαμασκηνή,Μουσελίμης,ΔΙΕΥΘΥΝΤΗΣ
Μαγκούφης,Χρήστος,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Βαλάντω,Ζαρειφοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Μακροπούλου,Έκτορας,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Ευριπίδης,Κουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Μακρυγιάννης,Λουκία,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Περσεφόνη,Μενγκ,ΔΙΕΥΘΥΝΤΗΣ
Μανέτα,Μάριος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Ασημίνα,Τσαντίδου,ΔΙΕΥΘΥΝΤΗΣ
Μανωλάκης,Διαμαντής,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Κλεόπας,Ρέππος,ΔΙΕΥΘΥΝΤΗΣ
Μαρακάς,Ειρήνη,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Διονυσία,Κονιάρη,ΔΙΕΥΘΥΝΤΗΣ
Μαρκαντωνάκη,Γιαννούλα,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Αρίσταρχος,Πανοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Μαρουγιάννη,Ανάργυρος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Ασημίνα,Τσαντίδου,ΔΙΕΥΘΥΝΤΗΣ
Μασαούτη,Βαγιανή,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Αρχέλαος,Θεοδωρόπουλος,ΔΙΕΥΘΥΝΤΗΣ
Μασγαλάς,Ράλλης,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Ίκαρος,Καρακυρίου,ΔΙΕΥΘΥΝΤΗΣ
Ματσούρη,Κωνσταντίνος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Αρίσταρχος,Πανοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Μαυρογονάτος,Αριστείδης,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Βαλάντω,Ζαρειφοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Μενγκ,Ερμόλαος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Λεονάρδος,Χολέβα,ΔΙΕΥΘΥΝΤΗΣ
Μιχαλάκης,Φλοριάντ,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Λεονάρδος,Χολέβα,ΔΙΕΥΘΥΝΤΗΣ
Μιχαλάρου,Κανέλλα,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Ζαχαρούλα,Πετρογιάννης,ΔΙΕΥΘΥΝΤΗΣ
Μπαγανάς,Αφέντρα,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Δαμασκηνή,Μουσελίμης,ΔΙΕΥΘΥΝΤΗΣ
Μπακοστεργίου,Χρυσή,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Αρίσταρχος,Πανοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Μπακοστεργίου,Ανατολή,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Βαλάντω,Ζαρειφοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Μπαλαμπάνη,Θεόκλητος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Ευριπίδης,Κουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Μπαλάση,Μένανδρος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Δαμασκηνή,Μουσελίμης,ΔΙΕΥΘΥΝΤΗΣ
Μπαλάσκας,Σωφρονία,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ευριπίδης,Κουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Μπίλλας,Ρεβέκα,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Βαλάντω,Ζαρειφοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Μπούζα,Αλέξιος,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Νεόκλεια,Βασιλάκης,ΔΙΕΥΘΥΝΤΗΣ
Μπρούζου,Νεκτάριος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ασημίνα,Τσαντίδου,ΔΙΕΥΘΥΝΤΗΣ
Μπύρου,Ερμιόνη,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ευριπίδης,Κουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Μωραΐτη,Κασσάνδρα,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Περσεφόνη,Μενγκ,ΔΙΕΥΘΥΝΤΗΣ
Νασιόπουλος,Λαοκράτης,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Κλεόπας,Ρέππος,ΔΙΕΥΘΥΝΤΗΣ
Νάσσου,Βαλέριος,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Βαλεντίνα,Ξανθάκης,ΔΙΕΥΘΥΝΤΗΣ
Νικολάου,Ηλιάνα,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Λεονάρδος,Χολέβα,ΔΙΕΥΘΥΝΤΗΣ
