amka,Επίθετο,Όνομα,"Φετινές Επεμβάσεις"
12127283498,Μπακοστεργίου,Ανατολή,1
14019499369,Καλαϊτζοπούλου,Ρόζα,1
28017063618,Γραμμένου,Κρυστάλλης,1
01087647415,Γρηγορίου,Ιοκάστη,1
12039108814,Γρίβα,Πρόδρομος,1
19067013466,Τσιρώνης,Αλκιβιάδης,1
26089594568,Παπατζήκα,Αυγέρης,1
01067626436,Φραγκόπουλος,Σωφρονία,1
12119127641,Πετρίδης,Ανθή,1
24089170265,Ξηρίδου,Γιώργος,1
15097806205,Ζαρειφοπούλου,Βαλάντω,1
09066255868,Χαλατσής,Λαυρεντία,1
27056512659,Αραμπατζής,Βασίλης,1
18059872007,Κουθούρη,Ίρις,1
